predictor,rn,1,2,3,4,5,6,7,8,9,10
returns_1,Annualized Return,0.5397,0.1436,0.1269,0.118,0.1192,0.0911,0.1075,0.0762,0.06,0.0534
returns_1,Annualized Std Dev,0.8193,0.2337,0.208,0.1888,0.191,0.1798,0.1823,0.1917,0.2201,0.3406
returns_1,Annualized Sharpe (Rf=0%),0.6587,0.6146,0.61,0.6252,0.624,0.5068,0.5897,0.3972,0.2724,0.1569
returns_2,Annualized Return,0.4222,0.1337,0.1199,0.1487,0.171,0.1057,0.0986,0.0686,0.0592,0.0758
returns_2,Annualized Std Dev,0.551,0.2391,0.2122,0.1926,0.6831,0.1807,0.1892,0.1938,0.2135,0.2989
returns_2,Annualized Sharpe (Rf=0%),0.7663,0.5592,0.5653,0.772,0.2503,0.5846,0.521,0.3538,0.277,0.2537
returns_3,Annualized Return,0.5048,0.1587,0.1291,0.1194,0.0979,0.1014,0.0838,0.0803,0.0521,0.089
returns_3,Annualized Std Dev,0.8571,0.2547,0.2114,0.1983,0.1852,0.1743,0.184,0.1958,0.2043,0.2957
returns_3,Annualized Sharpe (Rf=0%),0.589,0.6232,0.6108,0.6022,0.5284,0.5814,0.4555,0.4098,0.2553,0.3011
returns_4,Annualized Return,0.505,0.1335,0.1216,0.1249,0.1134,0.0848,0.0874,0.0561,0.0827,0.1093
returns_4,Annualized Std Dev,0.8473,0.2495,0.2203,0.1999,0.1827,0.178,0.1788,0.1837,0.2151,0.2982
returns_4,Annualized Sharpe (Rf=0%),0.596,0.5349,0.552,0.6248,0.6209,0.4763,0.4889,0.3054,0.3845,0.3663
returns_5,Annualized Return,0.4598,0.1288,0.1144,0.1176,0.1076,0.1004,0.0847,0.0878,0.0823,0.122
returns_5,Annualized Std Dev,0.8478,0.2543,0.216,0.1933,0.1878,0.1742,0.1752,0.1886,0.2152,0.3
returns_5,Annualized Sharpe (Rf=0%),0.5424,0.5065,0.5297,0.6084,0.5729,0.5765,0.4835,0.4654,0.3824,0.4068
returns_10,Annualized Return,0.4667,0.1069,0.12,0.1207,0.1081,0.0967,0.113,0.0867,0.0801,0.1027
returns_10,Annualized Std Dev,0.8435,0.2598,0.2177,0.1934,0.1812,0.1784,0.1817,0.1898,0.2141,0.3185
returns_10,Annualized Sharpe (Rf=0%),0.5532,0.4114,0.5513,0.624,0.5968,0.542,0.6217,0.4566,0.3743,0.3225
returns_22,Annualized Return,0.4649,0.089,0.1104,0.1084,0.1205,0.1203,0.1119,0.0905,0.1123,0.0746
returns_22,Annualized Std Dev,0.8608,0.2653,0.2121,0.202,0.1835,0.182,0.1811,0.1787,0.2128,0.2587
