predictor,rn,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
volume_4_adx_dip_66,Annualized Return,0.2892,0.075,0.1303,0.0942,0.1108,0.1034,0.098,0.0611,0.1147,0.1035,0.0889,0.1073,0.0803,0.1086,0.1045,0.1299,0.1029,0.1376,0.099,0.0909,0.2867,0.1756,0.1917,0.1857,0.1351
volume_4_adx_dip_66,Annualized Std Dev,1.3501,0.2732,0.2655,0.2259,0.2188,0.2697,0.2441,0.2198,0.1948,0.1774,0.2728,0.2332,0.2123,0.1973,0.1665,0.2602,0.2347,0.2228,0.1963,0.1796,0.5924,0.4176,0.555,0.4484,0.2218
volume_4_adx_dip_66,Annualized Sharpe (Rf=0%),0.2142,0.2746,0.4908,0.4168,0.5063,0.3833,0.4016,0.2778,0.5891,0.5834,0.3258,0.4602,0.3781,0.5504,0.6275,0.4994,0.4384,0.6176,0.5042,0.506,0.4839,0.4205,0.3454,0.4142,0.6094
volume_4_sharpe_132,Annualized Return,0.2668,0.0985,0.099,0.1017,0.1596,0.0648,0.0656,0.0928,0.1103,0.1271,0.0999,0.0557,0.1059,0.1117,0.1079,0.0978,0.1213,0.1149,0.1138,0.0904,0.3613,0.1934,0.1793,0.1271,0.1383
volume_4_sharpe_132,Annualized Std Dev,1.646,0.2876,0.2355,0.2021,0.2116,0.3137,0.2435,0.2096,0.1857,0.1651,0.3231,0.2316,0.2023,0.1798,0.1614,0.3151,0.2473,0.2121,0.1801,0.1619,0.9933,0.3105,0.4648,0.216,0.1775
volume_4_sharpe_132,Annualized Sharpe (Rf=0%),0.1621,0.3425,0.4201,0.5034,0.7544,0.2067,0.2693,0.4425,0.5937,0.77,0.3091,0.2404,0.5237,0.6211,0.6686,0.3103,0.4907,0.5419,0.6316,0.5587,0.3637,0.6228,0.3858,0.5882,0.7794
volume_4_bbands_dn_5,Annualized Return,0.1954,0.102,0.0921,0.1052,0.1998,0.1115,0.1299,0.105,0.0808,0.0366,0.1563,0.1117,0.1004,0.0654,0.0569,0.1464,0.1162,0.1256,0.0911,0.0936,0.1529,0.1738,0.1559,0.2682,0.2401
volume_4_bbands_dn_5,Annualized Std Dev,0.6594,0.2032,0.2336,0.2975,1.7402,0.1643,0.1879,0.214,0.2552,0.2923,0.1993,0.1767,0.2046,0.2355,0.2948,0.161,0.1909,0.2052,0.2481,0.2986,0.1766,0.2501,0.2313,0.7249,0.5602
volume_4_bbands_dn_5,Annualized Sharpe (Rf=0%),0.2964,0.5018,0.3941,0.3537,0.1148,0.6787,0.6911,0.4907,0.3167,0.1251,0.784,0.632,0.4908,0.2779,0.1931,0.9089,0.6086,0.612,0.3672,0.3135,0.8658,0.695,0.674,0.37,0.4285
volume_4_bbands_pctB_10,Annualized Return,0.3888,0.0952,0.121,0.0945,0.0364,0.1345,0.1342,0.1081,0.0725,0.0305,0.1586,0.0798,0.1263,0.0719,0.0605,0.213,0.1448,0.0752,0.0917,0.0496,0.4169,0.2181,0.1188,0.1125,0.1077
volume_4_bbands_pctB_10,Annualized Std Dev,1.9918,0.2576,0.254,0.2409,0.2198,0.2496,0.2404,0.2112,0.2094,0.1883,0.2369,0.2209,0.2276,0.2012,0.1891,0.2604,0.2317,0.215,0.2034,0.1793,0.6485,0.5096,0.2694,0.247,0.3324
volume_4_bbands_pctB_10,Annualized Sharpe (Rf=0%),0.1952,0.3696,0.4763,0.3922,0.1657,0.5388,0.5584,0.5119,0.3461,0.1622,0.6694,0.3615,0.5551,0.3576,0.3201,0.8181,0.6252,0.3498,0.451,0.2764,0.6428,0.4279,0.4409,0.4553,0.3241
volume_4_bbands_dn_66,Annualized Return,0.1678,0.0762,0.1019,0.1227,0.2325,0.1078,0.0962,0.1024,0.0733,0.0918,0.1049,0.1002,0.0888,0.0595,0.1382,0.1662,0.1043,0.111,0.071,0.1399,0.2699,0.1417,0.1508,0.1383,0.2878
volume_4_bbands_dn_66,Annualized Std Dev,0.8327,0.1943,0.2264,0.26,1.4801,0.2035,0.1909,0.2115,0.216,0.288,0.1899,0.173,0.1933,0.2298,0.3218,0.2177,0.1821,0.1954,0.2229,0.3178,0.6206,0.2267,0.2452,0.2429,0.6499
volume_4_bbands_dn_66,Annualized Sharpe (Rf=0%),0.2016,0.3921,0.4502,0.4717,0.1571,0.5298,0.5041,0.4841,0.3391,0.3186,0.5526,0.5792,0.4597,0.259,0.4295,0.7637,0.5726,0.5678,0.3187,0.4402,0.435,0.6249,0.615,0.5693,0.4429
volume_4_keltnerchannels_dn_5,Annualized Return,0.0961,0.1159,0.1046,0.0709,0.2782,0.1051,0.1203,0.1033,0.08,0.0476,0.1007,0.1112,0.0989,0.0915,0.0582,0.1115,0.102,0.106,0.1226,0.1262,0.1041,0.1172,0.2013,0.1519,0.3259
volume_4_keltnerchannels_dn_5,Annualized Std Dev,0.1231,0.1754,0.2077,0.2507,1.2471,0.1294,0.1669,0.2058,0.275,0.3818,0.1277,0.1685,0.2088,0.2805,0.3638,0.1307,0.1682,0.2084,0.2732,0.3858,0.1404,0.1812,0.6709,0.257,0.6394
volume_4_keltnerchannels_dn_5,Annualized Sharpe (Rf=0%),0.7811,0.6607,0.5037,0.2827,0.2231,0.8126,0.7211,0.5018,0.291,0.1246,0.7884,0.6602,0.4738,0.3263,0.16,0.8527,0.6064,0.5087,0.4488,0.327,0.7412,0.6465,0.3001,0.5909,0.5098
volume_4_rsi_22,Annualized Return,0.3432,0.1016,0.0935,0.096,0.093,0.104,0.0838,0.1196,0.0975,0.0644,0.1236,0.107,0.114,0.0805,0.0667,0.2005,0.1187,0.1087,0.0709,0.065,0.4034,0.244,0.1094,0.1108,0.0871
volume_4_rsi_22,Annualized Std Dev,1.3746,0.2707,0.2424,0.2362,0.1941,0.2944,0.2418,0.2221,0.1952,0.1625,0.2855,0.2325,0.2206,0.1885,0.1618,0.3118,0.2249,0.2187,0.1914,0.1583,0.748,0.4119,0.2244,0.2139,0.2085
volume_4_rsi_22,Annualized Sharpe (Rf=0%),0.2497,0.3753,0.3857,0.4064,0.4791,0.3532,0.3466,0.5385,0.4995,0.3966,0.4329,0.4604,0.5168,0.4271,0.4122,0.6432,0.5276,0.4969,0.3703,0.4107,0.5393,0.5924,0.4875,0.5178,0.4175
volume_4_close_ath,Annualized Return,0.2864,0.0685,0.0916,0.1254,0.1278,0.0914,0.0539,0.073,0.1278,0.1173,0.1321,0.0362,0.0882,0.1124,0.1103,0.1678,0.0676,0.0904,0.1282,0.0999,0.4351,0.121,0.0904,0.1178,0.1228
volume_4_close_ath,Annualized Std Dev,1.1983,0.2791,0.2444,0.1811,0.1289,0.3502,0.2855,0.2213,0.1752,0.1302,0.3689,0.2711,0.2235,0.1738,0.1295,0.3791,0.2764,0.2231,0.1743,0.1298,0.7807,0.3106,0.2134,0.1807,0.1279
volume_4_close_ath,Annualized Sharpe (Rf=0%),0.239,0.2453,0.3749,0.6924,0.9919,0.2611,0.1887,0.33,0.7299,0.9005,0.358,0.1335,0.3945,0.647,0.8518,0.4425,0.2444,0.4053,0.7358,0.77,0.5573,0.3894,0.4237,0.6522,0.9604
volume_4_dochian_low_5,Annualized Return,0.1645,0.1062,0.097,0.0783,0.2637,0.1593,0.1059,0.114,0.0646,0.0253,0.1489,0.1121,0.0925,0.0756,0.0529,0.1633,0.138,0.0857,0.0807,0.1146,0.2069,0.1967,0.2133,0.1753,0.2103
volume_4_dochian_low_5,Annualized Std Dev,0.2121,0.2214,0.2296,0.2591,1.7061,0.1836,0.1851,0.2086,0.2326,0.3077,0.2089,0.1803,0.2,0.2399,0.295,0.185,0.1804,0.205,0.2291,0.3162,0.2047,0.2051,0.7895,0.3551,0.5153
