index,aadr,acp,cqqq,cweb,dpst,dxd,eex,eslt,hyi,icfi,iiiv,ilcv,immp,krp,mcrb,mpwr,newtl,ostk,snbr,su,tenx,tmv,uga,umc,vnla,www,xtl
2020-01-02T14:00:00Z,52.008732315,6.65598877272645,54.36514865782,299.9536110166,976.543284096,108.1515291,10.386015942,149.96234574,11.387889084,89.362741581,28.67,112.43015521368,1.805,11.599709437,3.3673,173.924290592,20.69566737,7.02,49.44,27.78929505,28.3,27.75503718,32.62,2.191030199,44.69869664,31.238541828,67.53722451524
2020-01-02T15:00:00Z,51.8030335764,6.66176403413446,54.5139174503,304.6145081183,962.415472482,108.24896291,10.445534658,150.48923529,11.37330792,89.00126553,28.69,112.0477991596,1.8,11.4500137171,3.3,173.302021216,20.63465288808,7.03,48.94,27.70516155,28.4,27.60984954,32.62,2.1987666,44.71681042634,31.192221333,67.53722451524
2020-01-02T16:00:00Z,51.7800515382,6.67042692624647,54.57487685524,305.51581936,973.5130692,108.24896291,10.346336798,150.92990655,11.387889084,89.333432712,29.01,112.0477991596,1.85,11.4664187275,3.27,173.020055405,20.63465288808,6.99,48.54,27.532687875,28,27.8791726122,32.7,2.19469481,44.73465385766,31.173693135,67.20613610618
2020-01-02T17:00:00Z,51.8520366,6.66753929554247,54.8530227861,308.28604052,976.149431538,108.102812195,10.4157753,151.38973743,11.395179666,89.079422514,28.9,112.118941832,1.83,11.55910703626,3.28,174.167364567,20.63465288808,6.9402,47.98,27.515861175,28.6,27.8762688594,32.603,2.19469481,44.716720308,31.081052145,67.34574938184
2020-01-02T18:00:00Z,51.780811275,6.67042692624647,54.86426000104,309.1378835267,970.371671046,108.24068103615,10.31657744,151.31309895,11.38008816126,89.4164745075,29.46,112.06155022648,1.82,11.55186149,3.3302,174.303485993,20.647999806,6.98,47.23,27.46958775,28.5,27.860298219,32.58,2.20691018,44.71681042634,31.145900838,67.33651239048
2020-01-02T19:00:00Z,51.780811275,6.67042692624647,54.982797702,310.611047565,977.091662538,107.810510765,10.36617637,151.57175382,11.40968792418,89.78283537,29.68,112.1007980632,1.8299,11.55917539047,3.34,174.731296189,20.647999806,7.07,47.66,27.5116545,28.4,27.827631,32.58,2.2034898764,44.725732142,31.266334125,67.44928066
2020-01-02T20:00:00Z,52.09895106,6.67620218765447,55.012631016,312.54030873,991.227012,107.031040285,10.405855514,151.53343458,11.380598502,90.593714079,29.31,112.520014616,1.85,11.517684385,3.35,175.022984959,20.663888994,7.04,47.92,27.5789613,28.2,27.73083924,32.5318,2.20691018,44.69869664,31.4979366,67.66808189284
2020-01-03T14:00:00Z,51.62411556,6.64732588061445,54.64468681,308.7965527052,948.724856052,108.44431769905,10.376096156,151.35141819,11.35486274754,90.48546665616,29.35,111.660572936,1.8,11.565532332,3.28,172.631137045,20.671833588,6.97,45.67,27.9154953,28.5,27.07749486,33.641,2.17433586,44.716720308,31.155164937,67.1476351609
2020-01-03T15:00:00Z,51.79505634,6.63577535779844,54.525353554,308.038699345,953.618803866,108.8579242225,10.336417012,151.452006195,11.40976083,90.183389913,29.36,111.612826176,1.76,11.599709437,3.4,172.213049808,20.671833588,7.05,47.06,27.8481885,28.32,26.83551546,33.52,2.1709969922,44.725732142,31.210749531,67.05872911906
2020-01-03T16:00:00Z,51.797905353,6.63000009639043,54.555186868,310.16583345,953.618803866,108.4876757445,10.395935728,150.99696522,11.37330792,90.3934368075,29.21,111.67317808064,1.8032,11.6099625685,3.34,172.58252225,20.72593627314,6.96,47.23,27.67150815,28.4,26.83551546,33.1774,2.17026407,44.74672971522,31.488672501,67.05872911906
