backtest,total_trades,average_win,average_loss,average_annual_return,drawdown,expectancy,net_profit,sharpe_ratio,loss_rate,win_rate,profit_loss_ratio,trade_frequency,total_trades_2,average_win_2,average_loss_2,annual_return,net_profit_2,sharpe_ratio_2,loss_rate_2,win_rate_2,profit_loss_ratio_2,trade_frequency_2,compounding_annual_return,alpha,beta,annual_standard_deviation,annual_variance,information_ratio,tracking_error,treynor_ratio,total_fees,probabilistic_sharpe_ratio,estimated_strategy_capacity,lowest_capacity_asset,sortino_ratio,portfolio_turnover,total_orders,start_equity,end_equity
embedded_backtest_4c335011-dfbb-4f05-9744-c3e1e92c5ab1.html,646,0.05,-0.03,2.581,0.5,1.148,9.648,0.6,20,80,1.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
embedded_backtest_cbc8704e-ca14-4b2e-8296-2b5e0e7ae69d.html,1,2.06,0,2.402,8.1,0,2.021,0.9,0,100,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
embedded_backtest_ca13d181-f7c0-471b-9f24-28d1bf9c18e0.html,,,,,1,0,,,,,,,1,1.35,0,2.866,1.354,1.4,0,100,0,,,,,,,,,,,,,,,,,,
embedded_backtest_8eb84250a80f9f990f7c3502c35cdb89.html,,,,,11.4,0,,,,,,,2,0,0,,83.548,1.4,0,0,0,,35.48,0.003,15.893,0.159,0.025,1.313,0.159,0.014,,,,,,,,,
embedded_backtest_09e567b7-f211-4ba6-9d32-cce7f89d741c.html,,,,,26.4,-1,,,,,,,1,0,-12.5,-5.45,-12.502,-0.3,100,0,0,,,,,,,,,,,,,,,,,,
embedded_backtest_d41f9bfe-2d2e-431a-8831-c96d88743263.html,,,,,6.5,-1,,,,,,,1,0,-1.23,-0.596,-1.229,-0.1,100,0,0,,,,,,,,,,,,,,,,,,
embedded_backtest_bd3029cfe3688b4632f29301626e24fa.html,,,,,0,0,,,,,,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,
embedded_backtest_c2610e5f-f06f-45c9-999d-9bb2dcf79446.html,,,,,5.9,-1,,,,,,,1,0,-3.58,-4.319,-3.582,-1.1,100,0,0,,,,,,,,,,,,,,,,,,
embedded_backtest_1c17ecb8-3ef4-4445-95d8-9ee01d69e895.html,,,,,2.5,0,,,,,,,1,5.36,0,3.724,5.365,1.4,0,100,0,,,,,,,,,,,,,,,,,,
embedded_backtest_3fd89b46-30a4-4359-9967-f320f6e12ac3.html,,,,,2.9,0.425,,,,,,,316,0.11,-0.04,2.347,5.943,1.1,60,40,2.57,,,,,,,,,,,,,,,,,,
embedded_backtest_ae57b7da-07ba-4301-816a-3e9026f34c77.html,,,,,0.1,0.772,,,,,,,37,0.03,-0.02,5.162,0.594,4.6,32,68,1.62,,,,,,,,,,,,,,,,,,
embedded_backtest_96b4b9ed-5f4a-438e-9115-1684f40f1615.html,,,,,4.1,0.027,,,,,,,301,0.19,-0.11,0.556,0.806,0.2,63,37,1.78,,,,,,,,,,,,,,,,,,
embedded_backtest_0c5a1693-121f-4212-8cff-7442227f4705.html,,,,,12.6,0.663,,,,,,,15,3.62,-2.86,1.442,31.34,0.4,27,73,1.27,,,,,,,,,,,,,,,,,,
embedded_backtest_38426fbd-4ac6-480c-929c-4b6a972113d8.html,,,,,5.1,0,,,,,,,1,22,0,7.564,21.911,1.6,0,100,0,,,,,,,,,,,,,,,,,,
